Unnamed: 0,sample_id,organ,oncotree_code,disease_state,st_technology,oncotree_code_filled
0,NCBI883,Lung,,Healthy,Xenium,Healthy
2,NCBI638,Brain,EPM,Cancer,Visium,EPM
3,NCBI759,Skin,CSCC,Cancer,Spatial Transcriptomics,CSCC
5,NCBI682,Lymph node,LYMPH_IDC,Cancer,Visium,LYMPH_IDC
6,SPA1,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
7,NCBI464,Skin,,Diseased,Visium,Diseased_Unspecified
8,SPA142,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
9,NCBI567,Kidney,,Diseased,Visium,Diseased_Unspecified
10,MEND2,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
12,MISC3,Brain,,Healthy,Visium,Healthy
13,NCBI486,Skin,,Diseased,Visium,Diseased_Unspecified
14,MEND34,Bowel,,Healthy,Visium,Healthy
15,MEND36,Bowel,,Healthy,Visium,Healthy
17,NCBI466,Skin,,Diseased,Visium,Diseased_Unspecified
18,NCBI761,Skin,CSCC,Cancer,Spatial Transcriptomics,CSCC
19,MISC4,Brain,,Healthy,Visium,Healthy
20,SPA131,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
21,MISC8,Brain,,Healthy,Visium,Healthy
23,TENX94,Breast,ILC,Cancer,Xenium,ILC
25,MISC34,Bowel,COAD,Cancer,Visium,COAD
27,NCBI517,Skin,,Diseased,Visium,Diseased_Unspecified
28,NCBI491,Skin,,Diseased,Visium,Diseased_Unspecified
29,MISC32,Lung,,Treated,Visium,Treated_Unspecified
30,INT15,Kidney,CCRCC,Cancer,Visium,CCRCC
31,MISC47,Bowel,COAD,Cancer,Visium,COAD
32,NCBI467,Skin,,Diseased,Visium,Diseased_Unspecified
33,NCBI631,Brain,EPM,Cancer,Visium,EPM
35,TENX31,Brain,GBM,Cancer,Visium,GBM
36,NCBI468,Skin,,Diseased,Visium,Diseased_Unspecified
37,MEND49,Kidney,,Healthy,Visium,Healthy
38,NCBI708,Kidney,,Diseased,Visium,Diseased_Unspecified
39,TENX141,Lung,LUNG,Cancer,Xenium,LUNG
40,MISC43,Bowel,COAD,Cancer,Visium,COAD
41,MEND162,Prostate,PRAD,Cancer,Visium,PRAD
42,MEND16,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
43,SPA123,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
44,SPA2,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
45,SPA135,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
46,TENX117,Skin,SKCM,Cancer,Xenium,SKCM
48,MISC29,Lung,,Treated,Visium,Treated_Unspecified
49,NCBI771,Eye,ACYC,Cancer,Visium,ACYC
50,SPA149,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
53,INT26,Prostate,PRAD,Cancer,Visium,PRAD
56,NCBI637,Brain,EPM,Cancer,Visium,EPM
57,NCBI861,Lung,,Diseased,Xenium,Diseased_Unspecified
58,NCBI833,Liver,,Diseased,Visium,Diseased_Unspecified
59,NCBI714,Kidney,,Healthy,Visium,Healthy
61,TENX105,Kidney,PRCC,Cancer,Xenium,PRCC
62,SPA121,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
63,MEND4,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
64,NCBI539,Kidney,,Treated,Visium,Treated_Unspecified
65,NCBI3,Cervix,,Diseased,Visium,Diseased_Unspecified
66,TENX72,Lung,LNET,Cancer,Visium,LNET
67,TENX71,Kidney,,Healthy,Visium,Healthy
69,TENX106,Kidney,,Healthy,Xenium,Healthy
73,NCBI506,Skin,,Diseased,Visium,Diseased_Unspecified
74,MISC19,Lung,,Treated,Visium,Treated_Unspecified
75,NCBI505,Skin,,Diseased,Visium,Diseased_Unspecified
76,TENX29,Bowel,COAD,Cancer,Visium,COAD
77,MEND18,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
78,NCBI713,Kidney,,Healthy,Visium,Healthy
79,ZEN37,Bowel,,Healthy,Visium,Healthy
80,NCBI520,Skin,,Diseased,Visium,Diseased_Unspecified
82,MISC40,Bowel,COAD,Cancer,Visium,COAD
83,NCBI480,Skin,,Diseased,Visium,Diseased_Unspecified
86,TENX126,Pancreas,PAAD,Cancer,Xenium,PAAD
88,MISC21,Lung,,Treated,Visium,Treated_Unspecified
89,NCBI860,Lung,,Diseased,Xenium,Diseased_Unspecified
90,NCBI463,Skin,,Diseased,Visium,Diseased_Unspecified
94,NCBI855,Bladder,BLCA,Cancer,Visium,BLCA
95,INT13,Kidney,CCRCC,Cancer,Visium,CCRCC
96,MEND54,Kidney,,Healthy,Visium,Healthy
97,MEND24,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
99,NCBI879,Lung,,Healthy,Xenium,Healthy
100,MISC68,Bowel,COAD,Cancer,Visium,COAD
103,TENX98,Breast,IDC,Cancer,Xenium,IDC
104,MEND68,Brain,,Cancer,Visium,Cancer_Unspecified
105,MEND63,Brain,,Cancer,Visium,Cancer_Unspecified
106,TENX49,Bowel,COAD,Cancer,Visium,COAD
107,TENX28,Bowel,COAD,Cancer,Visium,COAD
108,NCBI776,Breast,IDC,Cancer,Visium,IDC
110,TENX41,Prostate,,Healthy,Visium,Healthy
111,NCBI699,Kidney,,Diseased,Visium,Diseased_Unspecified
112,MEND12,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
113,NCBI525,Skin,,Diseased,Visium,Diseased_Unspecified
116,TENX40,Prostate,PRAD,Cancer,Visium,PRAD
117,MISC10,Brain,,Healthy,Visium,Healthy
118,MISC11,Brain,,Healthy,Visium,Healthy
119,NCBI474,Skin,,Diseased,Visium,Diseased_Unspecified
120,NCBI572,Pancreas,PAAD,Cancer,Visium,PAAD
122,SPA144,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
123,NCBI1,Cervix,Unknown,Cancer,Visium,Unknown
124,NCBI562,Kidney,,Diseased,Visium,Diseased_Unspecified
125,INT14,Kidney,CCRCC,Cancer,Visium,CCRCC
127,INT20,Kidney,CCRCC,Cancer,Visium,CCRCC
128,NCBI828,Liver,,Healthy,Visium,Healthy
129,TENX116,Pancreas,PAAD,Cancer,Xenium,PAAD
131,NCBI495,Skin,,Diseased,Visium,Diseased_Unspecified
132,NCBI460,Skin,,Diseased,Visium,Diseased_Unspecified
133,NCBI832,Liver,,Diseased,Visium,Diseased_Unspecified
134,NCBI770,Skin,CSCC,Cancer,Spatial Transcriptomics,CSCC
135,MISC5,Brain,,Healthy,Visium,Healthy
136,SPA143,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
137,MEND17,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
138,MEND48,Kidney,,Healthy,Visium,Healthy
141,MEND95,Bowel,,Healthy,Visium,Healthy
142,ZEN45,Bowel,COAD,Cancer,Visium,COAD
145,MISC60,Bowel,,Tumor,Visium,Unknown
146,NCBI701,Kidney,,Diseased,Visium,Diseased_Unspecified
147,TENX13,Breast,IDC,Cancer,Visium,IDC
148,TENX91,Bowel,COAD,Cancer,Visium,COAD
149,NCBI698,Kidney,,Diseased,Visium,Diseased_Unspecified
150,NCBI522,Skin,,Diseased,Visium,Diseased_Unspecified
151,NCBI601,Bladder,BLCA,Cancer,Visium,BLCA
152,NCBI465,Skin,,Diseased,Visium,Diseased_Unspecified
154,NCBI493,Skin,,Diseased,Visium,Diseased_Unspecified
155,SPA153,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
156,MISC67,Bowel,COAD,Cancer,Visium,COAD
157,NCBI702,Kidney,,Diseased,Visium,Diseased_Unspecified
158,SPA125,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
159,MISC48,Bowel,COAD,Cancer,Visium,COAD
160,TENX155,Bowel,COAD,Cancer,Visium HD,COAD
161,NCBI684,Lymph node,LYMPH_IDC,Cancer,Visium,LYMPH_IDC
162,MEND45,Lung,,Healthy,Visium,Healthy
163,MISC12,Brain,,Healthy,Visium,Healthy
164,TENX92,Bowel,COAD,Cancer,Visium,COAD
168,NCBI487,Skin,,Diseased,Visium,Diseased_Unspecified
169,SPA3,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
171,TENX120,Liver,HCC,Cancer,Xenium,HCC
172,NCBI537,Lung,,Treated,Visium,Treated_Unspecified
173,MISC24,Lung,,Treated,Visium,Treated_Unspecified
174,NCBI700,Kidney,,Diseased,Visium,Diseased_Unspecified
175,TENX147,Bowel,COAD,Cancer,Xenium,COAD
176,NCBI696,Kidney,,Diseased,Visium,Diseased_Unspecified
177,TENX149,Bowel,COAD,Cancer,Xenium,COAD
178,NCBI526,Skin,,Diseased,Visium,Diseased_Unspecified
